1.2|Meyerdierks, H.; Ward-Thompson, D.|1995|JCMTDR - Cookbook
2.3|Davenhall, A. C.|1997|The DX cookbook
3.2|Clayton, Martin|2003|Echelle Data Reduction Cookbook
4.4|Currie, Malcolm J.|2006|C-Shell Cookbook
5.3|Davenhall, A. C.; Privett, G. J.; Taylor, M. B.|2001|The 2-d CCD Data Reduction Cookbook
6.4|Palmer, J.; Davenhall, A. C.|2001|The CCD Photometric Calibration Cookbook
7.2|Clayton, Martin; Holloway, Anthony|1998|Simple Spectroscopy Reductions
8.1|Matthews, Henry E.; Jenness, Tim|1997|Specx Cookbook - Reduction of millimetre-wave data
9.1|Lawden, M. D.; Charles, Anne|1997|LaTeX Cookbook
10.1|Stevens, J. A.; Ivison, R. J.; Jenness, T.|1997|The SCUBA photometry cookbook
11.2|Sandell, G.; Jessop, N.; Jenness, T.|2001|The SCUBA map reduction cookbook
12.1|Lockley, Jon|1997|Writing your own data reduction software
13.|Gray, Norman|2003|Theory and Modelling Resources Cookbook
14.2|Davenhall, A. C.|1999|The Fibre Spectroscopy Cookbook
15.2|Allan, A.; Terrett, D. L.|2000|The Graphics Cookbook
16.2|Allan, A.; Currie, Malcolm, J.|2008|The IFU Data product cookbook
17.1|Davenhall, A. C.; Draper, P. W.|2001|The GAIA Cookbook
18.|
19.3|Chapin, Edward; Dempsey, Jessica; Jenness, Tim; Scott, Douglas; Thomas, Holly; Tilanus, Remo P. J.|2010|The SCUBA-2 SRO data reduction cookbook
20.|||ACSIS Data-reduction Cookbook
21.1|Thomas, Holly S.|2013|The SCUBA-2 Data Reduction Cookbook

Notes

SC/18 The X-Ray Data Analysis Cookbook
was never released.
